Name,Screen Name,Party
Κυριάκος Μητσοτάκης,@kmitsotakis,N.D
Αλέξης Τσίπρας,@atsipras,Syriza
Φώφη Γεννηματά,@FofiGennimata,Kinima Allagis
Δημήτρης Κουτσούμπας,no,KKE
Νίκος Μιχαλολιάκος,@michaloliakosn,Xrysi Avgi
Κυριάκος Βελόπουλος,@velopky,Elliniki Lysi
Γιάνης Βαρουφάκης,@varoufakis_gr,Mera25
