Name,Screen Name,Constituency,Party,Followers
Sandy Martin,@sandyofipswich,Ipswich,Labour,5503
Sarah Champion,@SarahChampionMP,Rotherham,Labour,40862
Sarah Jones,@LabourSJ,Croydon Central,Labour,11822
Seema Malhotra,@SeemaMalhotra1,Feltham and Heston,Labour,22499
Shabana Mahmood,@ShabanaMahmood,"Birmingham, Ladywood",Labour,18744
Sharon Hodgson,@SharonHodgsonMP,Washington and Sunderland West,Labour,30406
Siobhain McDonagh,@Siobhain_MP,Mitcham and Morden,Labour,16364
Stella Creasy,@stellacreasy,Walthamstow,Labour,120862
Stephanie Peacock,@Steph_Peacock,Barnsley East,Labour,6477
Stephen Doughty,@SDoughtyMP,Cardiff South and Penarth,Labour,22926
Stephen Hepburn,@jarrowstevemp,Jarrow,Labour,3889
Stephen Kinnock,@SKinnock,Aberavon,Labour,23083
Stephen Morgan,@StephenMorganMP,Portsmouth South,Labour,6080
Stephen Timms,@stephenctimms,East Ham,Labour,14366
Stephen Twigg,@StephenTwigg,"Liverpool, West Derby",Labour,36933
Steve McCabe,@steve_mccabe,"Birmingham, Selly Oak",Labour,16060
Steve Reed,@SteveReedMP,Croydon North,Labour,26633
Sue Hayman,@SueHayman1,Workington,Labour,11104
Susan Elan Jones,@susanelanjones,Clwyd South,Labour,5127
Tanmanjit Singh Dhesi,@TanDhesi,Slough,Labour,15127
Teresa Pearce,@tpearce003,Erith and Thamesmead,Labour,11498
Thangam Debbonaire,@ThangamMP,Bristol West,Labour,18714
Thelma Walker,@Thelma_WalkerMP,Colne Valley,Labour,6292
Toby Perkins,@tobyperkinsmp,Chesterfield,Labour,24351
Tom Watson,@tom_watson,West Bromwich East,Labour,287932
Tonia Antoniazzi,@ToniaAntoniazzi,Gower,Labour,8778
Tony Lloyd,@tony4rochdale,Rochdale,Labour,7280
Tracy Brabin,@TracyBrabin,Batley and Spen,Labour,24545
Tulip Siddiq,@TulipSiddiq,Hampstead and Kilburn,Labour,118350
Valerie Vaz,@Valerie_VazMP,Walsall South,Labour,4772
Vernon Coaker,@Vernon_Coaker,Gedling,Labour,22429
Vicky Foxcroft,@vickyfoxcroft,"Lewisham, Deptford",Labour,12807
Virendra Sharma,@VirendraSharma,"Ealing, Southall",Labour,15711
Wayne David,@WayneDavid_MP,Caerphilly,Labour,11434
Wes Streeting,@wesstreeting,Ilford North,Labour,47351
Yasmin Qureshi,@YasminQureshiMP,Bolton South East,Labour,18353
Yvette Cooper,@YvetteCooperMP,"Normanton, Pontefract and Castleford",Labour,234442
Yvonne Fovargue,@Y_FovargueMP,Makerfield,Labour,10166
Alistair Carmichael,@amcarmichaelMP,Orkney and Shetland,Liberal Democrat,14572
Christine Jardine,@cajardineMP,Edinburgh West,Liberal Democrat,7151
Edward Davey,@EdwardJDavey,Kingston and Surbiton,Liberal Democrat,21321
Jamie Stone,@Jamie4North,"Caithness, Sutherland and Easter Ross",Liberal Democrat,3644
Jo Swinson,@joswinson,East Dunbartonshire,Liberal Democrat,48377
Layla Moran,@laylamoran,Oxford West and Abingdon,Liberal Democrat,35811
Norman Lamb,@normanlamb,North Norfolk,Liberal Democrat,44691
Stephen Lloyd,@StephenLloydEBN,Eastbourne,Liberal Democrat,6317
Tim Farron,@timfarron,Westmorland and Lonsdale,Liberal Democrat,294041
Tom Brake,@thomasbrake,Carshalton and Wallington,Liberal Democrat,67056
Vincent Cable,@vincecable,Twickenham,Liberal Democrat,163338
Wera Hobhouse,@Wera_Hobhouse,Bath,Liberal Democrat,12526
Ben Lake,@BenMLake,Ceredigion,Plaid Cymru,4959
Hywel Williams,@HywelPlaidCymru,Arfon,Plaid Cymru,8110
Jonathan Edwards,@JonathanPlaid,Carmarthen East and Dinefwr,Plaid Cymru,11201
Liz Saville Roberts,@lsrplaid,Dwyfor Meirionnydd,Plaid Cymru,9940
Alan Brown,@AlanBrownSNP,Kilmarnock and Loudoun,Scottish National Party,9549
Alison Thewliss,@alisonthewliss,Glasgow Central,Scottish National Party,21861
Angela Crawley,@AngelaCrawley30,Lanark and Hamilton East,Scottish National Party,12167
Angus MacNeil,@AngusMacNeilSNP,Na h-Eileanan an Iar,Scottish National Party,31466
Brendan O'Hara,@BrendanOHaraSNP,Argyll and Bute,Scottish National Party,11405
Carol Monaghan,@CMonaghanSNP,Glasgow North West,Scottish National Party,16439
Chris Law,@ChrisLawSNP,Dundee West,Scottish National Party,15868
Chris Stephens,@ChrisStephens,Glasgow South West,Scottish National Party,13791
David Linden,@DavidLinden,Glasgow East,Scottish National Party,8214
Deidre Brock,@DeidreBrock,Edinburgh North and Leith,Scottish National Party,12503
Douglas Chapman,@DougChapmanSNP,Dunfermline and West Fife,Scottish National Party,11336
Dr Lisa Cameron,@DrLisaCameronMP,"East Kilbride, Strathaven and Lesmahagow",Scottish National Party,11833
Dr Philippa Whitford,@Dr_PhilippaW,Central Ayrshire,Scottish National Party,20782
Drew Hendry,@drewhendrySNP,"Inverness, Nairn, Badenoch and Strathspey",Scottish National Party,11728
Gavin Newlands,@GavNewlandsSNP,Paisley and Renfrewshire North,Scottish National Party,10631
Hannah Bardell,@HannahB4LiviMP,Livingston,Scottish National Party,19253
Ian Blackford,@IanBlackfordMP,"Ross, Skye and Lochaber",Scottish National Party,42016
Joanna Cherry QC,@joannaccherry,Edinburgh South West,Scottish National Party,53682
John Mc Nally,@JohnMcNallyMP,Falkirk,Scottish National Party,7418
Kirsty Blackman,@KirstySNP,Aberdeen North,Scottish National Party,17924
Marion Fellows,@marionfellows,Motherwell and Wishaw,Scottish National Party,9268
Martin Docherty-Hughes,@martinjdocherty,West Dunbartonshire,Scottish National Party,11386
Martyn Day,@MartynDaySNP,Linlithgow and East Falkirk,Scottish National Party,8636
Mhairi Black,@MhairiBlack,Paisley and Renfrewshire South,Scottish National Party,154480
Neil Gray,@NeilGrayMP,Airdrie and Shotts,Scottish National Party,11224
Patricia Gibson,@PGibsonSNP,North Ayrshire and Arran,Scottish National Party,10482
Patrick Grady,@GradySNP,Glasgow North,Scottish National Party,13498
Pete Wishart,@PeteWishart,Perth and North Perthshire,Scottish National Party,40972
Peter Grant,@PeterGrantMP,Glenrothes,Scottish National Party,12642
Ronnie Cowan,@ronniecowan,Inverclyde,Scottish National Party,10253
Stephen Gethins,@StephenGethins,North East Fife,Scottish National Party,16146
Stewart Hosie,@StewartHosieSNP,Dundee East,Scottish National Party,24710
Stewart Malcolm McDonald,@StewartMcDonald,Glasgow South,Scottish National Party,25191
Stuart C. McDonald,@Stuart_McDonald,"Cumbernauld, Kilsyth and Kirkintilloch East",Scottish National Party,10263
Tommy Sheppard,@TommySheppard,Edinburgh East,Scottish National Party,28796
Christopher Hazzard,@ChrisHazzardSF,South Down,Sinn Fein,12091
Elisha McCallion,@ElishaMcC_SF,Foyle,Sinn Fein,6326
Francie Molloy,@FrancieMolloy,Mid Ulster,Sinn Fein,6428
Michelle Gildernew,@gildernewm,Fermanagh and South Tyrone,Sinn Fein,15887
Mickey Brady,@MickeyBradySF,Newry and Armagh,Sinn Fein,4065
Órfhlaith Begley,@OrfhlaithBegley,West Tyrone,Sinn Fein,4739
Paul Maskey,@PaulMaskeyMP,Belfast West,Sinn Fein,14560
Angela Smith,@angelasmithmp,Penistone and Stocksbridge,The Independent Group,32147
Ann Coffey,@anncoffey_mp,Stockport,The Independent Group,19591
Anna Soubry,@Anna_Soubry,Broxtowe,The Independent Group,176760
Chris Leslie,@ChrisLeslieMP,Nottingham East,The Independent Group,48397
Chuka Umunna,@ChukaUmunna,Streatham,The Independent Group,374703
Gavin Shuker,@gavinshuker,Luton South,The Independent Group,20229
Heidi Allen,@heidiallen75,South Cambridgeshire,The Independent Group,75789
Joan Ryan,@joanryanEnfield,Enfield North,The Independent Group,18470
Luciana Berger,@lucianaberger,"Liverpool, Wavertree",The Independent Group,111852
Mike Gapes,@MikeGapes,Ilford South,The Independent Group,40471
Sarah Wollaston,@sarahwollaston,Totnes,The Independent Group,81565
